confidence,accuracy
1.797356828193832, 0.9311515151515152
4.5462555066079275, 0.9214545454545454
5.814977973568281, 0.9505454545454546
7.506607929515418, 0.9815757575757575
7.268722466960352, 0.9214545454545454
6.845814977973568, 0.9001212121212121
7.1101321585903055, 0.9098181818181819
7.823788546255505, 0.9214545454545454
7.559471365638766, 0.904
7.929515418502202, 0.9001212121212121
8.220264317180616, 0.902060606060606
8.325991189427311, 0.8904242424242423
8.563876651982376, 0.9001212121212121
7.903083700440527, 0.8613333333333333
9.013215859030835, 0.871030303030303
7.691629955947134, 0.8206060606060606
5.6563876651982365, 0.871030303030303
5.762114537444933, 0.8807272727272727
4.995594713656386, 0.8516363636363636
5.127753303964756, 0.8225454545454545
5.577092511013216, 0.8225454545454545
6.528634361233479, 0.8109090909090908
6.634361233480176, 0.8012121212121213
6.158590308370043, 0.7507878787878788
5.920704845814976, 0.7527272727272727
5.471365638766519, 0.7604848484848485
6.502202643171804, 0.7100606060606061
6.317180616740087, 0.7003636363636363
4.28193832599119, 0.712
4.149779735682818, 0.7003636363636363
2.9339207048458147, 0.7003636363636363
1.797356828193832, 0.7003636363636363
1.4008810572687218, 0.7313939393939394
1.480176211453744, 0.7604848484848485
1.58590308370044, 0.8109090909090908
1.9559471365638763, 0.8206060606060606
1.58590308370044, 0.8012121212121213
1.5594713656387653, 0.8826666666666667
2.9339207048458147, 0.8419393939393939
