awareness,accuracy
-0.8041166166166166, 0.8699140211640212
-0.7936895228561895, 0.7004365079365079
-0.4131006006006005, 0.7103571428571428
-0.36357190523857175, 0.7004365079365079
-0.3010093426760091, 0.9005026455026455
-0.15242325658992306, 0.819484126984127
-0.13156906906906873, 0.8095634920634921
-0.014264264264264082, 0.7004365079365079
-0.06379295962629272, 0.9005026455026455
0.01701701701701719, 0.9806944444444445
0.019623790457124146, 0.819484126984127
0.1760301968635305, 0.7500396825396825
0.1760301968635305, 0.8203108465608465
0.28551468134801494, 0.8203108465608465
0.3558975642308979, 0.9302645502645503
0.7547339005672344, 0.9501058201058201
0.32722305638972315, 0.9005026455026455
0.5175175175175177, 0.9203439153439154
0.6270020020020024, 0.9203439153439154
0.7260593927260597, 0.9195171957671958
0.8381506506506511, 0.91125
0.9580622288955627, 0.9195171957671958
0.8381506506506511, 0.889755291005291
0.9476351351351358, 0.8608201058201058
0.88767934601268, 0.8500727513227513
0.8668251584918256, 0.8401521164021164
0.9372080413747084, 0.7996428571428571
0.447134634634635, 0.9005026455026455
0.5123039706373045, 0.9005026455026455
0.5175175175175177, 0.8798346560846562
0.4080330330330333, 0.8806613756613757
0.3663246579913251, 0.8707407407407407
0.5070904237570908, 0.8103902116402116
0.5070904237570908, 0.8004695767195767
0.447134634634635, 0.760787037037037
0.5644394394394399, 0.7599603174603174
0.3167959626292962, 0.7500396825396825
0.376751751751752, 0.7310251322751322
0.4080330330330333, 0.7103571428571428
0.6270020020020024, 0.7004365079365079
